UserId,IsChurned,Cluster,SubsPlanSent,SubsPlanAccepted,SubsPlanProposed,SubsPlanChosen,IsSubsPlanActive,DateLastSubsProposal
1,False,3.0,False,False,0,0,0,2000-01-01
2,False,-1.0,False,False,0,0,0,2000-01-01
3,False,0.0,False,False,0,0,0,2000-01-01
4,False,3.0,False,False,0,0,0,2000-01-01
5,False,3.0,False,False,0,0,0,2000-01-01
6,False,3.0,False,False,0,0,0,2000-01-01
7,False,2.0,False,False,0,0,0,2000-01-01
8,False,2.0,False,False,0,0,0,2000-01-01
9,False,2.0,False,False,0,0,0,2000-01-01
10,False,2.0,False,False,0,0,0,2000-01-01
11,False,0.0,False,False,0,0,0,2000-01-01
12,False,2.0,False,False,0,0,0,2000-01-01
13,False,2.0,False,False,0,0,0,2000-01-01
14,False,2.0,False,False,0,0,0,2000-01-01
15,False,-1.0,False,False,0,0,0,2000-01-01
16,False,2.0,False,False,0,0,0,2000-01-01
17,False,0.0,False,False,0,0,0,2000-01-01
18,False,2.0,False,False,0,0,0,2000-01-01
19,False,2.0,False,False,0,0,0,2000-01-01
20,False,3.0,False,False,0,0,0,2000-01-01
21,False,2.0,False,False,0,0,0,2000-01-01
22,False,2.0,False,False,0,0,0,2000-01-01
23,False,3.0,False,False,0,0,0,2000-01-01
24,False,2.0,False,False,0,0,0,2000-01-01
25,False,2.0,False,False,0,0,0,2000-01-01
26,False,1.0,False,False,0,0,0,2000-01-01
27,False,2.0,False,False,0,0,0,2000-01-01
28,False,2.0,False,False,0,0,0,2000-01-01
29,False,2.0,False,False,0,0,0,2000-01-01
30,False,2.0,False,False,0,0,0,2000-01-01
31,False,1.0,False,False,0,0,0,2000-01-01
32,False,-1.0,False,False,0,0,0,2000-01-01
33,False,2.0,False,False,0,0,0,2000-01-01
34,False,2.0,False,False,0,0,0,2000-01-01
35,False,1.0,False,False,0,0,0,2000-01-01
36,False,2.0,False,False,0,0,0,2000-01-01
37,False,0.0,False,False,0,0,0,2000-01-01
38,False,2.0,False,False,0,0,0,2000-01-01
39,False,0.0,False,False,0,0,0,2000-01-01
40,False,2.0,False,False,0,0,0,2000-01-01
41,False,2.0,False,False,0,0,0,2000-01-01
42,False,0.0,False,False,0,0,0,2000-01-01
43,False,2.0,False,False,0,0,0,2000-01-01
44,False,3.0,False,False,0,0,0,2000-01-01
45,False,0.0,False,False,0,0,0,2000-01-01
46,False,3.0,False,False,0,0,0,2000-01-01
47,False,3.0,False,False,0,0,0,2000-01-01
48,False,3.0,False,False,0,0,0,2000-01-01
49,False,-1.0,False,False,0,0,0,2000-01-01
50,False,1.0,False,False,0,0,0,2000-01-01
51,False,-1.0,False,False,0,0,0,2000-01-01
52,False,2.0,False,False,0,0,0,2000-01-01
53,False,3.0,False,False,0,0,0,2000-01-01
54,False,0.0,False,False,0,0,0,2000-01-01
55,False,1.0,False,False,0,0,0,2000-01-01
56,False,2.0,False,False,0,0,0,2000-01-01
57,False,2.0,False,False,0,0,0,2000-01-01
