ProductId,FullName,Price,ProductPopularity,ProductReorderRate,OftenBoughtWith
70,Adult Cats Sensitive Digestion - сухий корм для котів з чутливим травленням (2 кг),359,1500,268.0,60.0
88,- вологий корм з куркою для дорослих стерилізованих котів (24x80 г),384,366,71.0,13.0
2,Selection - паштет з індичкою та ягням для дорослих собак (400 г),219,283,45.0,109.0
74,- вологий корм із тріскою в желе для дорослих котів (24x80 г),360,176,15.0,10.0
79,Adult Cats Urinary Health - cухий корм для підтримки здоров'я сечовивідної системи котів (900 гр),164,823,150.0,56.0
23,Adult Cats with Salmon - сухий корм з лососем для дорослих котів (14 кг),2086,332,53.0,23.0
49,- м'ясна паличка з яловичиною для собак (),60,428,70.0,88.0
11,Adult All Breeds Lamb & Rice - гіпоалергенний сухий корм з ягням та рисом для дорослих собак усіх порід (14 кг),1839,772,137.0,16.0
80,Puppies All Breeds - сухий корм з куркою для цуценят усіх порід (2 кг),598,590,102.0,59.0
65,- вологий корм з яловичиною в желе для дорослих котів (100 г),30,1256,206.0,42.0
24,Selection - вологий корм зі смужками індички в крем-супі з моркви для дорослих котів (85 г),18,403,43.0,76.0
96,Selection - вологий корм зі смужками кролика в соусі для дорослих котів (85 г),18,331,35.0,74.0
69,Selection - вологий корм зі смужками яловичини в крем-супі з брокколі для дорослих котів (85 г),18,298,40.0,74.0
75,Selection - вологий корм зі смужками курки в соусі для дорослих котів (85 г),18,313,37.0,75.0
77,Adult Small Breeds Duck - сухий корм з качкою для дорослих собак малих порід (14 кг),2044,38,4.0,36.0
10,- жувальна палички Dental Sticks для дорослих собак (чистка зубів) (117 гр),275,400,61.0,18.0
53,Adult Cats Rabbit - сухий корм з кроликом для дорослих котів (14 кг),2086,367,46.0,1.0
76,Adult All Breeds Active - сухий корм для дорослих активних собак (14 кг),1539,912,146.0,31.0
101,- вологий корм з яловичиною в желе для стерилізованих котів (24x80 г),384,47,7.0,65.0
124,Plus Selection - вологий корм зі шматочками кролика та індички в соусі для дорослих котів (80 г),34,712,76.0,84.0
126,Plus Selection - вологий корм зі шматочками телятини в овочевому желе для дорослих котів (80 г),17,451,44.0,83.0
66,Kittens Chicken - cухий корм з куркою для кошенят (5 кг),719,1515,246.0,40.0
