UserId,DaysSinceLastPurchase,DayOfWeek,Hour,OrdersCount,TotalSpent,AveragePurchaseValue,PurchaseFreq,PreferedProduct,TotalItemsPurchased,OrderSize,LT,IsChurned,Cluster
56,0,Tuesday,20,1,899.0,899.0,1.0,8,1,1.0,0,False,0.0
57,0,Thursday,10,3,1367.76,455.92,0.6766917293233082,10,3,1.0,103,False,1.0
58,0,Tuesday,20,1,359.58,359.58,1.0,2,1,1.0,0,False,0.0
59,0,Monday,20,5,2674.7,534.9399999999998,1.351351351351351,17,65,5.909090909090909,81,False,2.0
60,0,Tuesday,20,1,972.0,972.0,1.0,47,36,12.0,0,False,2.0
61,0,Tuesday,20,1,1126.96,1126.96,1.0,6,3,1.0,0,False,0.0
62,0,Wednesday,20,5,1280.75,256.15,1.5625,23,21,2.333333333333333,66,False,3.0
63,0,Saturday,12,2,1879.0,939.5,0.8,97,7,1.1666666666666667,45,False,0.0
64,0,Tuesday,19,1,1260.0,1260.0,1.0,22,1,1.0,0,False,0.0
65,0,Tuesday,18,1,781.56,781.56,1.0,51,2,1.0,0,False,0.0
66,0,Tuesday,18,1,495.0,495.0,1.0,20,6,6.0,0,False,0.0
67,0,Tuesday,18,1,1141.14,1141.14,1.0,2,3,1.5,0,False,0.0
68,0,Friday,17,4,22881.49,5720.3725,0.7017543859649122,83,28,1.5555555555555556,141,False,-1.0
69,0,Tuesday,18,2,1652.0,826.0,1.0714285714285714,11,2,1.0,26,False,0.0
70,0,Friday,11,7,5098.88,728.4114285714287,1.6030534351145036,47,172,10.117647058823527,101,False,-1.0
71,0,Friday,9,5,4916.4000000000015,983.28,0.4297994269340975,58,6,1.0,319,False,1.0
72,0,Sunday,15,6,9994.68,1665.78,1.0909090909090908,22,45,2.3684210526315788,135,False,3.0
73,0,Friday,9,6,4540.8200000000015,756.8033333333334,1.0344827586206895,24,10,1.6666666666666667,144,False,3.0
74,0,Tuesday,16,1,1834.56,1834.56,1.0,26,84,84.0,0,False,-1.0
75,0,Thursday,16,3,1208.38,402.79333333333335,0.6818181818181818,80,3,1.0,102,False,1.0
